"","Index","Team","Wt"
"1",437,"MountUnion",0.0183561357780453
"2",372,"MaryHardin-Baylor",0.0129974524471696
"3",601,"StFrancisIN",0.0110450589753014
"4",671,"UW-Oshkosh",0.00995905834657783
"5",623,"TAMU-Commerce",0.00929489817210914
"6",85,"BrockportSt",0.00916853142770118
"7",467,"NorthDakotaSt",0.00900785680492528
"8",6,"Alabama",0.00899357390586358
"9",434,"Morningside",0.00879438439251988
"10",242,"Georgia",0.00837997422438067
"11",302,"JamesMadison",0.00807557325643269
"12",175,"DelawareValley",0.00793908015334669
"13",705,"Wartburg",0.00757892103354194
"14",292,"IndianaPA",0.00722217541919164
"15",135,"Clemson",0.0070811491060902
"16",403,"MinnSt-Mankato",0.00695495393114431
"17",112,"CentralFlorida",0.0067531703985199
"18",491,"OhioState",0.00667128078029075
"19",755,"Wisconsin",0.00663642171661931
"20",528,"Reinhardt",0.00657994683933947
"21",610,"StThomas",0.00601648944843743
"22",494,"Oklahoma",0.00594803779420542
"23",233,"FrostburgSt",0.00550644474161249
"24",36,"Ashland",0.00536786354869666
"25",37,"Assumption",0.00532447707555661
